true_answer,model_response
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Concentration of tropicamide:
Options:
A) 0.01
B) 0.02
C) 0.03
D) 0.04
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g B i.e., 0-2%
Hence, the correct answer is B (0.0201). (Ref: Parson's diseases of eye 20th/e p.210; Khurana 3rd/ep. 205)
Tropicamide - It has two enantiomers, d-tropic acid & l-tropic amide. The active form is D-isomer which acts on M3 receptors in ciliary muscle to produce cycloplegia. Its action lasts for 15 minutes. Tropics can be used alone at concentration of 5% or combined with phenylephrine hydrochloride at concentrations of 0·025% or 0•05%. Phenylephride prevents redness due to vasodilatation caused by tropicamidc. At lower doses it causes mydriasis but no appreciable cyclopelgia. It is useful when pupillary dilatation without loss of accommodation is required e.g. fundus examination. It also reduces the amount of fluorescein dye needed during tonography. Side effects include allergic reactions like uveitis, conjunctivitis, lacrimation, skin rashes etc. It should never he instilled into an open wound of"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.
Options:
A) Sphenopalatine aery
B) Anterior ethmoidal aery
C) Greater palatine aery
D) Septal branch of superior labial aery
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Ans. is b i.e., Anterior Ethmoidal Aery Blood supply to nasal cavity : - The blood supply to nose comes from both internal & external carotic aeries. Internal Carotid Artery Branches supplying Nose (Anteriorly). Posteriorly. Inferior turbinate Superior turbinates Middle turbinate Nasal septum Nasal spine Nasalis muscle External Carotids Aery Branches Supplying Nose (anteriorly), Posterior Turbinate, Nasal Spines, Nasalis Muscle. Posterior Nasal Wall. Post. End Of Nasal Cavity. * Sphenoplatine aey * Great Palantine Aery * Septal Br. Sup Labial Aery Kiesslebachs Plexus :- It is an area where four vessels meet at anterior end of septum just anteroinferior to middle turbine. These vessels are :? 1) Antero-inferior branch of greater palatene aery. 2) Septo-lateral branch of sphenopalotine aery 3) Septa! branche of superior alveolar aery (from maxillary aery) 4) Branch of septal branch off superor labiate aery.
H"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Diagnosis of the following ECG-
Options:
A) Ventricular bigeminy
B) Electrical alternans
C) P pulmonale
D) Left ventricular failure
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g B i.e., Electrical alternan's
Hence, the correct answer is B (Electrical alternans). (Ref: Harrison's principles of internal medicine 18th edition pg no. 1456 table 226-1.)ECG shows electrical alternans which can be seen in pericardial effusionQ.Ventricular Bigeminy - It refers to consecutive premature ventricular contractions that occur at regular intervals. The QRS complex preceding the PVC has normal duration & morphology.P Pulmonale - This pattern on an electrocardiogram indicates right atrial enlargement. In this condition, tall peaked P waves (>2.5 mm in V1-V3) with negative deflection in leads II, III, and AVF are present.Left ventricular hypertrophy - ST segment depression >0.5mm in v5-v6Left axis deviation - Negative q wave in lead I and positive R wave in Lead aVRRight bundle branch block - Wide slurred S wave in VlV2I and wide rR' interval in V3V4Inverted T wave in anterior wall leads (v1,v2,V3)
Hence the correctanswer is B ((Electrical alternan's). (REF : HARRISONS PR"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Respiratory rhythm generation center is located at:
Options:
A) Dorsal respiratory group
B) Pre-Botzinger complex
C) Ventral respiratory neurons
D) Pneumotaxic center
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g B i.e., Pre Botzinger Complex
Hence, the correct answer is B (Pre-Botzingner complex). (Ref: Ganong's Review of Medical Physiology 23rd/ pg 593-594; Guyton & Hall Textbook Of Medical Physiology - Page 555)
The preBotzinger complex in the ventrolateral medulla has been identified as an essential component of the central pattern generator that controls rhythmic breathing movements.
It contains pacemaker cells with intrinsic rhythms between 8 to 12 Hz which can be entrained by signals coming from higher brain centers.
In addition to this, it also receives inputs from vagus nerve and carotid body chemoreceptors.
This area sends excitatory output to phrenic motor nucleus via both local interneurons and long-range projections through spinal cord.
Pacemaker activity within the preBotcinger complex generates inspiratory ramp signal that drives respiration.
Hence the correct choice here is pre-botzinger complexes.
Note:

Ventral respiratory neurons are involved in forced expiration during intense exercise.
Pneumotactic centre helps control rate of inspiration by limiting duration of inspiratory phase.

Also know

Respiratory Rhythm Generator

Rhythmic discharge of the dorsal respiratory group"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Gait apraxia is seen in thromboembolic episode involving:
Options:
A) ACA
B) MCA
C) PCA
D) Posterior choroidal aery
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g A i.e. Anterio communicating aery (ACA)
Hence, the correct answer is A (ACA). (Ref: Harrison's Principles of Internal Medicine - 18th edition, Page 2565; Current Medical Diagnosis & Treatment Chapter 23 Neurology Table 35-1.)Gait ApraxiaIt refers to an inability to walk normally despite normal strength, coordination, sensation, reflexes, and cerebellar function.It can be caused by bilateral lesions of frontal lobe, especially anterior cerebral aeries (ACA), basal ganglia, thalamus, pons, medulla, midbrain, and spinal cord.Clinical features include wide-based gait with short steps, difficulty turning around, tendency to veer off course, poor balance, and frequent falls.Most patients have trouble initiating walking but may improve once they sta moving.Other causes of abnormal gait include ataxic gait, spastic gait (due to upper motor neuron lesion), hemiparetic gault (weakness on one side of body), parkinsonian gait and waddling gait.
Hence the correct Answer is A ((ACA). Ref: Harrison’s Principles of internal medicine - 19th edition page no : 2583Explanation"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Characteristic of venous blood flow of lower limb in duplex Doppler is?
Options:
A) Monophasic
B) Biphasic
C) Triphasic
D) Non phasic
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g B i.e., Biphasice The waveform pattern obtained by using continuous wave doppler ultrasound can be used to determine whether it is an aerial or venous signalQ.The characteristic features of arterial signals include high frequency end diastolic component (EDP), sharp systolic peak & biphasic waveformQ whereas those of venus signals have low frequency with no EDP, broad based monophase waveform & slow upstroke velocityQ.In normal individuals, there should be at least one positive wave during expiration phase of respiration which indicates that the vessel remains open throughout the respiratory cycleQ. This is called triphasic waveformQ.
Hence, the correct answer is B (Biphasic). (Dr. Arun Kumar - Principles of Surgery-2nd edition page 8)The characteristic features of arterial signals include high frequency with end-diastolic components, sharp systole peaks & biphased waveformQ where as those of vensal signals have low frequency without end-diastic components, broad base mono-phased waveform & sloe up stroke velocities.QIn normal individual's there should at least on positive wave durring expiratory phase of respirations indicating that vessels remain open through out the respiratory cycles.This is known as triphs"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: 2, 3-BPG binds to sites of haemoglobin and the affinity for oxygen
Options:
A) 4, decreases
B) 1, decreases
C) 4, increases
D) 1, increases
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Oxygen binding by hemoglobin is increased in alkalosis (high pH). The Bohr effect describes this phenomenon. In addition, when carbon dioxide levels increase, it causes an acidotic state that shifts the curve to the right, increasing oxygen delivery to tissues. This is why tissue hypoxia can be caused by inadequate blood flow rather than low paial pressure of oxygen. Another factor affecting oxygen-haemoglobin dissociation is 2-3-bisphosphoglycerate (2,3-BPQ), which is produced during glycolysis within red cells. It has two phosphate groups attached to adjacent carbons on one molecule of phosphoenolpyruvate. When deoxygenated haemoglobins bind with 2.3-BiG, they have lower affinities for O2. Thus, high concentrations of 2;3-BIG promote release of Q2 at the tissue level. Ref : Biochemistry By U. Satyanarayana 3rd edition Pgno : 240
Hence, the correct answer is A (4, decreased). On combining both factors i.e., pH & BPG, we get - ""The combination of acidic conditions and elevated 2,3-DPG produces the greatest shift"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Highest concentration of oxygen is delivered through?
Options:
A) Nasal cannula
B) Venturi mask
C) Bag and mask
D) Mask with reservoir
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Oxygen delivery system Concentration (%) Flow rate (L/min) Use Nasal Cannula 28-44 1 -2 As needed Face mask 40% 5-10 Acute respiratory failure Non rebreathing mask 60-80 6-12 Severe acute respiratory distress Ventilator Any > 8 Mechanical ventilation Endotracheal intubation Any >8 Intensive care unit
Hence, the correct answer is D (Mask with reservoir). (Ref: Harrison's Principles of Internal Medicine 18th edition pg 1629 table 258-3)
The highest flow rates listed in this table can deliver up to 100 percent O2 by using an FIO2 of 1.0. The lowest flow rates will still give you adequate amounts of supplemental O2 at lower concentrations. For example, if your patient needs 35 percent O 2, then use nasal prongs at 2 L/ min. If they need more than that, such as 50 percent, then switch them over to simple face masks at 5 L /min.
Oxygen Delivery Devices
Device Description Advantages Disadvantage Uses Nasal Prong Consists of two plastic flanges placed on either side of nares Delivers low to moderate"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A mother is Hbs Ag positive and anti Hbe Ag positive. Risk of transmission of Hep. B in child is:
Options:
A) 20%
B) 50%
C) 0%
D) 90%
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g
Hence, the correct answer is C (0%). (Ref: Harrison's Principles of Internal Medicine, 18th edition, Page 2595).Explanation:Hepatitis B virus infection can be classified into three phases based on HBV DNA levels and presence or absence of hepatitis B e antigen (HBeAg): high infectivity with high viral replication; low infectivity but still active viral replication due to mutations that reduce virion secretion; and very low infectivities with minimal viral replication.HBeAg-positive chronic infections have higher rates of virologic relapse than do HBeAg-negative infections after treatment cessation.The risk of perinatal transmission varies widely depending upon maternal markers of disease activity.Mothers who are HBeAG-Positive and Anti-HBs negative have an approximately 90% chance of transmitting the virus to their offspring whereas mothers who are both HBe AG -negative and anti-HBs positive have less than 10% chance.Patients with acute hepatitis B may also transmit the virus during pregnancy.Perinatal TransmissionRisk of Perinatal Transmision (%)MotherInfantAnti-HBC +veAnti-HBS+ ve<10%Anti-HBG +veanti-HBS-ve>80%Anti-BG +ve, anti-HBS"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person?
Options:
A) Neostigmine
B) Atropine
C) Flumazenil
D) Physostigmine
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g B i.e., Atropin
Hence, the correct answer is B (Atropine). (Ref: Harrison's Principles of Internal Medicine 18th ed / Chapter 46.)The symptoms described in the question suggest that it is a case of atropinic poisoning. The management includes administration of physiologic amounts of anticholinergic drugs such as atropine.Atropine has no effect on muscaranic receptors but competitively inhibits acetyl choline action by blocking M1 -M3 receptor sites. It does not cross BBB so there will be no CNS effects.It can also antagonize histamine mediated responses due to H1 blockade.The dose required depends upon severity of symptoms; usually 0.5-2 mg IV every 10 minutes until dryness of mouth occurs. If tachycardia develops, reduce doses to 0-05mg every 30 min.Physostigminewill increase the activity of all types of endogenous cholinesterase enzymes including pseudocholinesterases which may result in excessive muscle weakness and paralysis.Flumazenilextractable benzodiazepines like diazepam, flurazepam, lorazepam & temazepam.Neostigmina reversible inhibitor"
